id,direction,acceptance,phases,status
R01,"Owner: name the legal workdesk **Advocatio**. Canonical application is `E:\AI_Workspace\Projects\Propria\Legal-desktop`, despite the directory not having the new name.",Maintain one live route and independent repository history. Link the relocation/diff receipt; preserve original build kit inside `resources/build-kit`. Do not revive extra app copies.,F0/B0,planned
R02,Owner: full legal workdesk and simpler phone-friendly reference/record surface use the same root sources.,"Shared versioned resource and record contract, demonstrated with the same resource/event ID in desktop, phone view, and agent read response. Simple surface emphasizes references, records, calendar; it does not expose the full analysis and tool suite.",F1/B1; F8/B8,planned
R03,Owner: three categories — legal references; skills/processes; personal/case context.,"Separate resource kinds, provenance, acceptance and access rules. A strategy guide belongs to reference/method material according to its content; a private case strategy belongs to the case. Mixed bundles may produce linked records without losing their original file.",F1/B1,planned
R04,"Owner: provided paths, archives, drafts and conversations are pointers and candidates, **none intrinsically source of truth**. Duplicates and corrected data exist.","Inventory before promotion; preserve origin, exact hash for files, version/relationship and classification. Exact duplicate identity does not decide which interpretation is correct. Record corrections and supersession explicitly; do not pick authority by filename, folder, recency, or confident wording.",F0/B0,planned
R05,Owner: use inexpensive readers for bulk material; reread relevant originals later.,"Bounded source batches, compact extraction reports with exact source pointers and uncertainty, escalation for substantial software review. A manifest or summary is not proof of functional completeness. Private content stays out of public planning artifacts.",F0/B0,planned
R06,Owner: worldwide tools and skills can supply useful methods even when their law is inapplicable. Earlier designs may retain useful omissions despite later overrides.,"Classify each contribution as case-relevant authority candidate, reusable method, software integration, inspiration, private context, duplicate, superseded, or unresolved. Preserve jurisdiction and reasons. No foreign legal rule silently enters Michigan guidance.",F0/B0,planned
R07,"Existing ownership contract, retained: Probata owns evidence custody, originals, normalized records, accepted factual assertions, source spans, evidence analysis and authored factual timelines. Advocatio owns legal interpretation and work product.",Consume immutable/versioned accepted source packages and analysis references. Missing evidence creates an investigation request; the legal app does not manufacture acceptance or become another writable evidence store. Legal procedural/calendar records remain distinguishable from factual source events.,F1/B1,planned
R08,"Owner: bring over the **whole** Michigan family-law plugin reference collection, including legal references, case law, strategy guides, cheat sheets and associated material. Final iteration is the intended most complete/validated baseline, not guaranteed correct.","Complete manifest of current baseline, per-item disposition and shared collection import; counts and identifiers reconcile, with no unexplained omissions. Preserve citations, organization, source links, validation notes and prior versions. Verify completeness separately from legal validity.",F2/B2,planned
R09,Owner: compare earlier plugin iterations for corrected material and missing functionality/information.,"Version comparison with added/removed/changed items, claimed corrections versus confirmed corrections, and unresolved conflicts. Recover useful older content as candidates; do not overwrite the baseline automatically.",F0/B0,planned
R10,"Owner: legal sources include cases, citations, court benchbooks, DHS/MDHHS policies and other material potentially usable by a court, although not all binding.","Source record distinguishes jurisdiction, issuing body, authority type/weight, effective and retrieval dates, version, cited proposition and pinpoint. Proposed: separate currency verification, substantive applicability, intended evidentiary use/foundation and actual admission record. Official publication does not itself settle admissibility.",F2/B2,planned
