id,title,short_title,issuing_body,document_number,citation,authority_class,binding_status,jurisdiction,scope_note,official_url,alternate_urls,archive_url,publication_date,effective_date,last_amended_or_revised,date_accessed,last_verified,verified_by,verification_method,jurisdiction_confirmed_by,http_status,content_hash,superseded,superseding_authority,supersedes,related_authorities,update_frequency,watch_triggers,access_restrictions,copyright_note,reproduction_permitted,pin_cites,unresolved_issues,confidence,file_path,dependent_files,audit_source_ids,audit_provenance,audit_cluster,fetch_alive,source_origin,source_file,nonofficial_mirrors,verification_limit
00-how-to-use-references,How to Use the Reference Library,How to Use the Reference Library,Michigan Supreme Court / State of Michigan,Verification protocol,Verification protocol,official_guidance,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/siteassets/rules-instructions-administrative-orders/michigan-court-rules/michigan-court-rules-responsive-html5.zip/Michigan_Court_Rules/,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch and package build,Read-only URL fetch by scripts/citation_url_checker.py; title/hash captured where accessible.,"Michigan Courts domain or source text identifies Michigan; local records identify Genesee County/Flint, Michigan.",204,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unknown,unknown — verification required,[],[],continuous or ad hoc; check before use,"Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Verification protocol""]",Currency and case-specific application require confirmation.,medium — metadata verified where accessible; re-check current text.,references/00-how-to-use-references.md,"[""checklists/de-novo-hearing.md"", ""checklists/discovery-response.md"", ""checklists/evidentiary-hearing.md"", ""checklists/exhibit-prep.md"", ""checklists/hearing-day.md"", ""checklists/meet-and-confer.md"", ""checklists/motion-filing.md"", ""checklists/post-hearing-order-entry.md"", ""checklists/pre-filing.md"", ""checklists/redaction.md"", ""checklists/referee-hearing.md"", ""checklists/safety-planning.md"", ""checklists/service.md"", ""examples/annotated-bad-example.md"", ""examples/worked-chronology-excerpt.md"", ""examples/worked-deficiency-letter.md"", ""examples/worked-foundation-transcript.md"", ""examples/worked-motion-to-compel.md"", ""examples/worked-objection.md"", ""examples/worked-rfa-set.md"", ""examples/worked-rfp-set.md"", ""references/00-how-to-use-references.md""]",,,,,,,,
42-cfr-part-2,42 CFR Part 2 — Confidentiality of Substance Use Disorder Patient Records,42 CFR Part 2,U.S. HHS,42 CFR Part 2,42 C.F.R. Part 2,regulation,binding_if_applicable,federal,Heightened confidentiality for SUD treatment records; intersects family-court discovery/subpoena practice.,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-A/part-2,[],,,,,2026-08-09,2026-08-09,direct fetch,Fetched eCFR Part 2 landing 2026-08-09.,eCFR,200,unavailable — see audit verification method,unknown,,[],"[""privilege-mcl-bundle""]",unknown,[],free,,quote-with-citation,[],[],high,,"[""references/michigan/privilege-and-confidentiality.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,federal,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
aft-michigan-project-veritas,AFT Michigan v Project Veritas (eavesdropping litigation cluster),AFT Michigan / Project Veritas,U.S. District Court E.D. Mich.; Michigan Supreme Court (certified question declined); later federal rulings,E.D. Mich. No. 4:17-cv-13292 (and related),"AFT Michigan v Project Veritas litigation; MSC declined certified question (~May 26, 2021); later federal ruling reaffirming one-party consent analysis (reported Mar. 30, 2026 in secondary sources)",persuasive_case_law,unsettled,federal persuasive on Michigan eavesdropping interpretation; MSC declined to answer,Critical UNSETTLED cluster for recording legality guidance. Do not tell users Michigan law is clearly one-party or two-party without caveat.,https://www.govinfo.gov/content/pkg/USCOURTS-mied-4_17-cv-13292/pdf/USCOURTS-mied-4_17-cv-13292-7.pdf,"[""https://www.rcfp.org/briefs-comments/aft-michigan-v-project-veritas/"", ""https://www.butzel.com/alert-butzel-prevails-in-long-running-michigan-eavesdropping-statute-litigation""]",,2017–2026 (cluster),,,2026-08-09,2026-08-09,govinfo docket PDF fetch + RCFP + Butzel alert fetches,"Govinfo opinion PDF, RCFP page, and Butzel Mar 2026 alert fetched 2026-08-09. MSC decline of certified question corroborated on RCFP. Later 2026 federal disposition described in Butzel secondary — obtain full official opinion for pin cites.",E.D. Michigan case number; Michigan eavesdropping statute at issue,200,unavailable — see audit verification method,unknown,,[],"[""sullivan-v-gray"", ""eavesdropping-mcl-750-539""]",unknown,[],free,,quote-with-citation,[],"[""Full March 2026 federal opinion text not obtained as official slip opinion beyond secondary/govinfo partial."", ""MSC certified-question denial order official PDF not separately fetched."", ""Package must label recording law UNSETTLED and escalate to lawyer for any covert recording plan.""]",high that dispute exists and MSC declined; medium for precise 2026 holding pins,,"[""references/michigan/eavesdropping-and-recordings.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-recording-doctrine.md""]",,,caselaw,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
audit-deep-research-source-audit-2026-08-09,Genesee Family Court Deep Research Source Audit — 2026-08-09,Genesee Family Court Deep Research Source Audit — 2026-08-09,Toolkit audit integration,audit-deep-research-source-audit-2026-08-09,Genesee Family Court Deep Research Source Audit — 2026-08-09,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""genesee-court-home"", ""trap-florida-circuit7"", ""genesee-notice-motion-practice"", ""genesee-lao-2025-04j-family-court-plan"", ""genesee-lao-2024-03-case-assignments"", ""genesee-lao-2025-06j-holidays"", ""genesee-lao-2024-04j"", ""genesee-judge-hood-policies"", ""genesee-judge-pickell-policies"", ""genesee-foc-home"", ""genesee-foc-online-forms"", ""genesee-foc-objection-packet"", ""genesee-foc-misc-motion-packet"", ""genesee-foc-custody-motion"", ""genesee-foc-handbook-2022"", ""genesee-lrc"", ""genesee-hearsay-oct-2025"", ""genesee-bench-roster-composite-2026"", ""scao-lcr-circuit-courts"", ""mcr-current-compilation"", ""mcr-2-119-motion-practice"", ""mcr-2-310-rfp"", ""mcr-2-312-rfa"", ""mcr-2-313-compel"", ""mcr-3-215-referee-hearings"", ""mcr-3-201-et-seq-domestic"", ""mcr-1-109-pii"", ""mcr-2-408-remote"", ""mre-consolidated"", ""mre-restyle-order-2021-10"", ""icle-mre-amendments-blog"", ""foc-68-objection"", ""foc-72-records-access"", ""foc-124-dv-screening"", ""mc-20-fee-waiver"", ""foc-act-1982-pa-294"", ""mcl-552-507-referee-review"", ""sptea-1982-pa-295"", ""child-custody-act-1970"", ""uccjea-michigan"", ""uifsa-michigan"", ""mifpa"", ""icwa-25-usc-1901"", ""ppo-mcl-600-2950"", ""eavesdropping-mcl-750-539"", ""privilege-mcl-bundle"", ""child-protection-law"", ""ropa"", ""sullivan-v-gray"", ""aft-michigan-project-veritas"", ""mcsf-2025-manual"", ""mcsf-2025-supplement"", ""foc-model-handbook"", ""mji-evidence-bb"", ""mji-civil-bb"", ""mji-dv-bb"", ""mji-cpp-bb"", ""mji-jj-bb"", ""mji-contempt-flowchart"", ""mji-dr-qrms"", ""mji-privileges-table"", ""icle-family-law-benchbook"", ""mdhhs-ocs-policy-landing"", ""mdhhs-ivd-1-15-family-violence"", ""mdhhs-olm-cps-index"", ""mdhhs-cw-law-manual"", ""title-iv-d-federal"", ""cfr-45-301-310"", ""42-cfr-part-2"", ""mifile-available-courts"", ""micourt-case-search"", ""mlh-home"", ""icle-mcdowell-qa"", ""icle-mcsf-2025-blog""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Audit records include robots-blocked and mirror-only sources; use each source record’s verification limits, not the report alone, for any substantive proposition.""]",high for provenance; authority confidence depends on each linked source record,references/audit/deep-research-source-audit-2026-08-09.md,"[""references/audit/deep-research-source-audit-2026-08-09.md""]",,,,,,,,
audit-form-and-supplement-drift,Form Revision and MCSF Supplement Drift Audit,Form Revision and MCSF Supplement Drift Audit,Toolkit audit integration,audit-form-and-supplement-drift,Form Revision and MCSF Supplement Drift Audit,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""foc-68-objection"", ""foc-72-records-access"", ""foc-124-dv-screening"", ""mc-20-fee-waiver"", ""mcsf-2025-manual"", ""mcsf-2025-supplement""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-form-and-supplement-drift.md,"[""references/audit/audit-form-and-supplement-drift.md""]",,,,,,,,
audit-high-risk-gaps,High-Risk Verification Gaps — Deep Research Audit,High-Risk Verification Gaps — Deep Research Audit,Toolkit audit integration,audit-high-risk-gaps,High-Risk Verification Gaps — Deep Research Audit,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""mcr-current-compilation"", ""mre-consolidated"", ""mcsf-2025-supplement"", ""genesee-bench-roster-composite-2026""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-high-risk-gaps.md,"[""references/audit/audit-high-risk-gaps.md""]",,,,,,,,
audit-mifile-nonlisting,MiFILE Non-Listing Audit — 2026-08-09,MiFILE Non-Listing Audit — 2026-08-09,Toolkit audit integration,audit-mifile-nonlisting,MiFILE Non-Listing Audit — 2026-08-09,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""mifile-available-courts""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-mifile-nonlisting.md,"[""references/audit/audit-mifile-nonlisting.md""]",,,,,,,,
audit-primary-text-access-limits,Primary Text Access Limits Audit,Primary Text Access Limits Audit,Toolkit audit integration,audit-primary-text-access-limits,Primary Text Access Limits Audit,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""mcr-current-compilation"", ""scao-lcr-circuit-courts"", ""mcr-2-119-motion-practice""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-primary-text-access-limits.md,"[""references/audit/audit-primary-text-access-limits.md"", ""references/00-how-to-use-references.md""]",,,,,,,,
audit-recording-doctrine,Recording Doctrine Audit — Unsettled Cluster,Recording Doctrine Audit — Unsettled Cluster,Toolkit audit integration,audit-recording-doctrine,Recording Doctrine Audit — Unsettled Cluster,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""eavesdropping-mcl-750-539"", ""sullivan-v-gray"", ""aft-michigan-project-veritas""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-recording-doctrine.md,"[""references/audit/audit-recording-doctrine.md""]",,,,,,,,
audit-roster-conflicts,Family Bench and Referee Roster Conflict Audit,Family Bench and Referee Roster Conflict Audit,Toolkit audit integration,audit-roster-conflicts,Family Bench and Referee Roster Conflict Audit,official_guidance,informational,"Genesee County, Michigan / Michigan statewide",Audit integration record; not a legal authority. Read linked audit source records before relying on an assertion.,,"[""https://7thcircuitcourt.com/""]",,2026-08-09,not applicable,2026-08-09,2026-08-09,2026-08-09,deep-research audit integration,Copied from completed deep-research report and its 74-source machine ledger; no additional substantive web verification performed in this merge.,"Audit scope is expressly Genesee County, Michigan / 7th Judicial Circuit.",not applicable — internal audit artifact,generated at package merge; manifest records file hash,unknown,newer source audit or primary-source re-verification,[],"[""genesee-bench-roster-composite-2026"", ""genesee-lao-2024-03-case-assignments"", ""genesee-lao-2025-04j-family-court-plan""]",when source audit is refreshed,"[""package expiry"", ""new LAO"", ""form revision"", ""MCR/MRE amendment"", ""MiFILE onboarding""]",free,Audit report is package research output; external sources retain their own rights.,quote-with-citation,"[""Audit summary""]","[""Read the linked audit-source records; primary text limitations remain active.""]",high for provenance; authority confidence depends on each linked source record,references/audit/audit-roster-conflicts.md,"[""references/audit/audit-roster-conflicts.md""]",,,,,,,,
